Length,Diameter,Perimeter,Area,Class
925.1189113,1395.815532,3250,199392,Pubescent Bamboo
786.168557,1088.853066,2739,191990,Pubescent Bamboo
1008.44633,1545.592767,3849,235805,Pubescent Bamboo
970.7605266,1497.492571,3683,260187,Pubescent Bamboo
1008.252449,1536.094073,3816,246370,Pubescent Bamboo
844.2801668,1252.599297,2952,225840,Pubescent Bamboo
823.826438,1236.113263,2883,290726,Pubescent Bamboo
906.7155011,1391.294361,3445,328025,Pubescent Bamboo
880.6957477,1331.982357,3170,328981,Pubescent Bamboo
963.880698,1487.800054,3706,297409,Pubescent Bamboo
900.7952043,1389.878052,3373,280181,Pubescent Bamboo
983.3758183,1514.888775,3493,201055,Pubescent Bamboo
922.9192814,1419.276224,3182,195385,Pubescent Bamboo
954.7408025,1473.985753,3718,332635,Pubescent Bamboo
995.8684652,1513.4127,3708,361642,Pubescent Bamboo
950.821224,1467.512862,3401,221865,Pubescent Bamboo
950.6634525,1448.008978,3424,245836,Pubescent Bamboo
898.3106367,1378.071116,3464,305519,Pubescent Bamboo
997.3509914,1544.819083,3910,261266,Pubescent Bamboo
952.1607007,1468.215584,3655,323809,Pubescent Bamboo
995.2366553,1523.07879,3929,337377,Pubescent Bamboo
1035.815138,1597.340289,4117,312590,Pubescent Bamboo
914.1580826,1420.902882,3828,289482,Pubescent Bamboo
1041.232443,1609.41014,4031,230732,Pubescent Bamboo
1004.806449,1553.136182,4050,382239,Pubescent Bamboo
1010.948564,1545.388624,3910,391908,Pubescent Bamboo
1067.039362,1637.180809,4331,382404,Pubescent Bamboo
1056.946545,1626.798389,4208,367432,Pubescent Bamboo
988.8503426,1475.886513,3933,442610,Pubescent Bamboo
925.922783,1411.204096,3606,386800,Pubescent Bamboo
846.5134376,1267.486489,3434,543654,Chinese horse chestnut
852.8030253,1254.8219,3571,580034,Chinese horse chestnut
1017.61928,1576.627413,4320,775183,Chinese horse chestnut
993.4344468,1518.844297,4939,809369,Chinese horse chestnut
979.882646,1395.007168,4066,753511,Chinese horse chestnut
1015.386133,1564.309752,5166,830510,Chinese horse chestnut
960.0088541,1490.862837,3949,662808,Chinese horse chestnut
1042.981304,1617.674875,4584,810958,Chinese horse chestnut
988.0551604,1537.709986,5296,809308,Chinese horse chestnut
1014.396865,1577.332241,4372,767712,Chinese horse chestnut
961.9667354,1491.14218,4221,712379,Chinese horse chestnut
904.5910678,1408.111146,3831,653339,Chinese horse chestnut
880.8501575,1381.744188,3796,622823,Chinese horse chestnut
1010.677496,1495.401284,4550,818690,Chinese horse chestnut
1031.193968,1586.640476,4975,892323,Chinese horse chestnut
1024.597482,1567.566586,4988,749070,Chinese horse chestnut
1018.568603,1536.527253,4331,839221,Chinese horse chestnut
1008.032242,1480.55395,4247,814737,Chinese horse chestnut
993.801288,1299.432568,4189,753665,Chinese horse chestnut
991.1210824,1527.74507,4219,710933,Chinese horse chestnut
1046.693843,1520.495314,5535,818827,Chinese horse chestnut
992.7144605,1534.523053,4758,749381,Chinese horse chestnut
901.0538275,1410.873488,3906,689565,Chinese horse chestnut
1026.743395,1589.60687,4524,802556,Chinese horse chestnut
966.2944686,1496.37228,4845,700694,Chinese horse chestnut
1010.408333,1555.189056,4286,854259,Chinese horse chestnut
1020.849156,1577.962294,4424,843282,Chinese horse chestnut
996.2810848,1555.789832,5260,738955,Chinese horse chestnut
961.8549787,1496.028409,4135,719013,Chinese horse chestnut
885.5309142,1346.076149,3685,522707,Chinese horse chestnut
