Asp Ratio,Form Factor,Narrow Factor,Rect,PRD,PRLW,Class
10.76907177,0.018877349,1.019752767,0.396700129,3.453140883,3.222146257,pubescent bamboo
7.297582955,0.025591429,1.120402173,0.439170131,3.116541165,3.070960622,pubescent bamboo
10.16696316,0.015916852,0.995325121,0.425123542,3.830480347,3.471157902,pubescent bamboo
8.2698936,0.019181482,0.953527333,0.437671501,3.980170534,3.385789855,pubescent bamboo
9.635689692,0.01691886,1.030510126,0.432172631,3.6558819,3.413198682,pubescent bamboo
6.391567644,0.025916011,1.099442928,0.492669189,3.183917709,3.026950775,pubescent bamboo
5.172962641,0.027639392,0.891220573,0.482562783,4.271731704,3.190324539,pubescent bamboo
5.09676613,0.034977969,1.004312345,0.463173439,3.465091671,2.909234304,pubescent bamboo
5.090256339,0.032738011,0.846996846,0.471858427,4.210332322,2.98059007,pubescent bamboo
6.658752304,0.021654256,1.036729094,0.472972043,3.693591905,3.329270113,pubescent bamboo
6.32787289,0.024626687,1.022084557,0.457345166,3.66487574,3.234639607,pubescent bamboo
11.37172555,0.016478501,1.156100236,0.422222433,3.075118245,3.267784454,pubescent bamboo
10.17621433,0.019297048,1.117523161,0.425881744,3.094285612,3.148534486,pubescent bamboo
5.971035083,0.024062967,0.982566942,0.453452936,3.987239698,3.355728741,pubescent bamboo
5.640164755,0.026302644,0.897849624,0.482914212,4.161173274,3.173454975,pubescent bamboo
9.828029683,0.019181189,1.045355016,0.412674034,3.429743367,3.254186615,pubescent bamboo
8.75738032,0.020969012,0.980219942,0.417250507,3.68554688,3.242398959,pubescent bamboo
5.481828851,0.02546141,0.928826087,0.479087429,4.163458531,3.270518126,pubescent bamboo
8.151113413,0.017089501,0.945027949,0.470473733,4.133467219,3.479382292,pubescent bamboo
5.782567918,0.02423897,0.9841194,0.484754303,3.898288014,3.270757207,pubescent bamboo
6.138072635,0.02185503,0.924989754,0.484165752,4.242035767,3.374133863,pubescent bamboo
8.145934333,0.018442226,0.994082403,0.423466627,3.988328239,3.531230814,pubescent bamboo
5.960491734,0.019755031,0.966731985,0.481357652,4.344902891,3.596899719,pubescent bamboo
11.10934437,0.0141998,1.005988022,0.421826907,3.853494283,3.556438706,pubescent bamboo
5.272933631,0.023303704,1.02073948,0.497166768,3.963651059,3.400884944,pubescent bamboo
5.435031644,0.02563484,1.014633097,0.478755632,3.816081853,3.27022848,pubescent bamboo
6.81091217,0.020386659,1.016262177,0.434582946,4.005735123,3.549698901,pubescent bamboo
6.974231483,0.020750354,0.99402034,0.4385563,3.993292438,3.471633785,pubescent bamboo
4.957893221,0.028613655,1.259177309,0.457469011,3.117432235,3.266542886,pubescent bamboo
4.489848411,0.029746442,0.982806681,0.492931496,3.965566767,3.187459623,pubescent bamboo
3.010700511,0.046102238,1.04122877,0.440844387,3.882544137,3.034658909,chinese horse chestnut
2.786121278,0.045485581,0.970843439,0.45099856,4.308502388,3.078088015,chinese horse chestnut
2.843010128,0.041537155,1.062999588,0.468626512,3.998949317,3.144748177,chinese horse chestnut
2.561902051,0.033179399,1.062532931,0.473131226,4.693007817,3.586527996,chinese horse chestnut
2.85028183,0.045577956,0.965128533,0.445057351,4.309089648,3.078690057,chinese horse chestnut
2.623264701,0.031119747,1.140691441,0.474263491,4.455360823,3.679536512,chinese horse chestnut
2.754822747,0.042502402,1.035060693,0.500957722,3.989147351,3.029354619,chinese horse chestnut
2.810192701,0.038593054,1.059655537,0.476801085,4.14996131,3.243380641,chinese horse chestnut
2.537205682,0.028854788,1.10886693,0.473430439,4.84401748,3.852835748,chinese horse chestnut
2.6711253,0.040164098,1.039879587,0.494935046,4.173272098,3.157583238,chinese horse chestnut
2.837251193,0.039983463,1.104360169,0.456717711,3.978105013,3.248362851,chinese horse chestnut
2.731109743,0.04451581,1.182935588,0.455511712,3.592215753,3.11046013,chinese horse chestnut
2.671730159,0.043222734,1.103195692,0.471786615,3.88349027,3.117429314,chinese horse chestnut
2.696294032,0.039545466,1.009240609,0.459686367,4.475509667,3.29486751,chinese horse chestnut
2.597586206,0.036052544,1.157176174,0.458511781,4.170348262,3.484420557,chinese horse chestnut
2.746414707,0.030107141,1.120831621,0.503951168,4.370665622,3.591188677,chinese horse chestnut
2.608580601,0.044740412,0.960838148,0.480747634,4.393787681,3.051807631,chinese horse chestnut
2.686031159,0.045170294,1.064251756,0.465377365,3.954312743,3.066672749,chinese horse chestnut
2.782715425,0.042949452,0.980789413,0.468859663,4.307145909,3.107638393,chinese horse chestnut
2.732413372,0.039940144,1.115754771,0.504264254,3.820534652,3.120682324,chinese horse chestnut
2.74619206,0.026727412,0.918689906,0.492856132,5.723043773,3.854223368,chinese horse chestnut
2.903926173,0.033101967,1.159637634,0.45460346,4.125168036,3.558343911,chinese horse chestnut
2.58382357,0.045197117,1.141865275,0.456902097,3.791287896,3.121173167,chinese horse chestnut
2.741219193,0.039213008,1.13571514,0.479722581,3.877470883,3.226625568,chinese horse chestnut
2.692208374,0.029849759,1.107308251,0.489319882,4.554180922,3.6770648,chinese horse chestnut
2.546978482,0.046503456,1.103951093,0.467658188,3.848846954,3.05103506,chinese horse chestnut
2.601471792,0.043086637,1.090278623,0.475876202,3.971317887,3.127600346,chinese horse chestnut
2.888753228,0.026708316,1.157343889,0.46445693,4.564428197,3.924179472,chinese horse chestnut
2.914319283,0.042051909,1.127267871,0.441801194,3.812396007,3.199676102,chinese horse chestnut
3.171538233,0.038493139,1.150312396,0.475845715,3.606820067,3.154379925,chinese horse chestnut
